json filename,image filename,prediction,actual category,checker
record_1.json,1_cam-image_array_.jpg,cat5,cat5,Correct
record_2.json,2_cam-image_array_.jpg,cat5,cat5,Correct
record_3.json,3_cam-image_array_.jpg,cat5,cat5,Correct
record_4.json,4_cam-image_array_.jpg,cat5,cat5,Correct
record_5.json,5_cam-image_array_.jpg,cat5,cat5,Correct
record_6.json,6_cam-image_array_.jpg,cat5,cat5,Correct
record_7.json,7_cam-image_array_.jpg,cat5,cat5,Correct
record_8.json,8_cam-image_array_.jpg,cat5,cat5,Correct
record_9.json,9_cam-image_array_.jpg,cat5,cat5,Correct
record_10.json,10_cam-image_array_.jpg,cat5,cat5,Correct
record_11.json,11_cam-image_array_.jpg,cat5,cat5,Correct
record_12.json,12_cam-image_array_.jpg,cat6,cat6,Correct
record_13.json,13_cam-image_array_.jpg,cat6,cat6,Correct
record_14.json,14_cam-image_array_.jpg,cat6,cat6,Correct
record_15.json,15_cam-image_array_.jpg,cat6,cat6,Correct
record_16.json,16_cam-image_array_.jpg,cat6,cat6,Correct
record_17.json,17_cam-image_array_.jpg,cat6,cat6,Correct
record_18.json,18_cam-image_array_.jpg,cat6,cat6,Correct
record_19.json,19_cam-image_array_.jpg,cat6,cat6,Correct
record_20.json,20_cam-image_array_.jpg,cat6,cat6,Correct
record_21.json,21_cam-image_array_.jpg,cat6,cat6,Correct
record_22.json,22_cam-image_array_.jpg,cat6,cat6,Correct
record_23.json,23_cam-image_array_.jpg,cat7,cat7,Correct
record_24.json,24_cam-image_array_.jpg,cat7,cat7,Correct
record_25.json,25_cam-image_array_.jpg,cat7,cat7,Correct
record_26.json,26_cam-image_array_.jpg,cat7,cat7,Correct
record_27.json,27_cam-image_array_.jpg,cat7,cat7,Correct
record_28.json,28_cam-image_array_.jpg,cat7,cat7,Correct
record_29.json,29_cam-image_array_.jpg,cat7,cat6,Wrong
record_30.json,30_cam-image_array_.jpg,cat7,cat6,Wrong
record_31.json,31_cam-image_array_.jpg,cat6,cat6,Correct
record_32.json,32_cam-image_array_.jpg,cat6,cat6,Correct
record_33.json,33_cam-image_array_.jpg,cat6,cat6,Correct
record_34.json,34_cam-image_array_.jpg,cat6,cat6,Correct
record_35.json,35_cam-image_array_.jpg,cat6,cat6,Correct
record_36.json,36_cam-image_array_.jpg,cat6,cat6,Correct
record_37.json,37_cam-image_array_.jpg,cat7,cat7,Correct
record_38.json,38_cam-image_array_.jpg,cat7,cat7,Correct
record_39.json,39_cam-image_array_.jpg,cat7,cat7,Correct
record_40.json,40_cam-image_array_.jpg,cat7,cat7,Correct
record_41.json,41_cam-image_array_.jpg,cat7,cat7,Correct
record_42.json,42_cam-image_array_.jpg,cat7,cat7,Correct
record_43.json,43_cam-image_array_.jpg,cat7,cat7,Correct
record_44.json,44_cam-image_array_.jpg,cat7,cat7,Correct
record_45.json,45_cam-image_array_.jpg,cat7,cat7,Correct
record_46.json,46_cam-image_array_.jpg,cat7,cat7,Correct
record_47.json,47_cam-image_array_.jpg,cat7,cat7,Correct
record_48.json,48_cam-image_array_.jpg,cat7,cat7,Correct
record_49.json,49_cam-image_array_.jpg,cat6,cat6,Correct
record_50.json,50_cam-image_array_.jpg,cat6,cat6,Correct
record_51.json,51_cam-image_array_.jpg,cat6,cat6,Correct
record_52.json,52_cam-image_array_.jpg,cat5,cat5,Correct
record_53.json,53_cam-image_array_.jpg,cat5,cat5,Correct
record_54.json,54_cam-image_array_.jpg,cat5,cat5,Correct
record_55.json,55_cam-image_array_.jpg,cat5,cat5,Correct
record_56.json,56_cam-image_array_.jpg,cat5,cat5,Correct
record_57.json,57_cam-image_array_.jpg,cat5,cat5,Correct
record_58.json,58_cam-image_array_.jpg,cat5,cat5,Correct
record_59.json,59_cam-image_array_.jpg,cat5,cat5,Correct
record_60.json,60_cam-image_array_.jpg,cat5,cat5,Correct
record_61.json,61_cam-image_array_.jpg,cat5,cat5,Correct
record_62.json,62_cam-image_array_.jpg,cat4,cat4,Correct
record_63.json,63_cam-image_array_.jpg,cat4,cat4,Correct
record_64.json,64_cam-image_array_.jpg,cat4,cat4,Correct
record_65.json,65_cam-image_array_.jpg,cat4,cat4,Correct
record_66.json,66_cam-image_array_.jpg,cat4,cat4,Correct
